name,description,url,languages
FlyDreamR,An R package to infer sleep/wake states from locomotion data using hidden Markov models. Accompanies our 2026 bioRxiv preprint on genetic basis of sleep states in <em>Drosophila melanogaster</em>.,https://github.com/orijitghosh/FlyDreamR,R
VANESSA-DAM,Visualization and ANalysis of timE SerieS dAta — Drosophila Activity Monitors. A suite of Shiny apps for accelerated time-series analysis and visualization of circadian rhythm and sleep data.,https://github.com/orijitghosh/VANESSA-DAM,R
orijitghosh.github.io,A terminal-themed personal academic website with a CSV-based content management system.,https://github.com/orijitghosh/orijitghosh.github.io,"CSS, JavaScript, HTML, Python, Jinja"
prakriti,R package for Color palettes inspired by India's natural landscapes,https://github.com/orijitghosh/prakriti,R
rtui,R package for Full-screen terminal user interfaces from R,https://github.com/orijitghosh/rtui,"R, CSS, Python"
