start_year,end_year,title,institution,details
2022,present,Visiting Postdoctoral Fellow,"Laboratory of Systems Genetics, NHLBI, NIH",Developed hidden Markov model based frameworks to classify fly sleep into distinct states|Developed algorithms to extract circadian time series parameters from large datasets|Conducted multiple genome wide association studies of circadian clock and sleep related traits in the DGRP|Contributed to a book chapter on the genetics of sleep in Drosophila and currently writing multiple research articles
2016,2022,Graduate Research Fellow,"Chronobiology and Behavioral Neurogenetics Lab, JNCASR","Conducted original research on classical chronobiology, sleep, and population genomics of circadian phases|Published open source apps for high-throughput automated analysis of circadian rhythms and sleep|Contributed to organizing multiple academic conferences and science outreach activities"
2014,2016,Masters Dissertation Research Fellow,"Goswami Lab, School of Biological Sciences, NISER","Established primary bone cell, immune cell, and stem cell cultures|Established novel molecular dynamics simulation routines|Established novel histological and imaging-focused assays for bone tissue engineering|Worked collaboratively on different bioinformatics projects"
