date,description
2026-03,"Received the SRBR Merit Award by the Society for Research on Biological Rhythms (2026), USA."
2026-01,"Posted a <a href=""https://www.biorxiv.org/content/10.64898/2026.01.14.699526v1"">Preprint</a> on sleep state inference using HMMs in flies and an associated R package, <a href=""https://orijitghosh.github.io/FlyDreamR/"">FlyDreamR</a>."
2025-01,"Received the Sleep and Circadian Science Scholar Award by the Sleep Research Society (2025). Presenting at Advances in Sleep and Circadian Sciences 2025, Clearwater Beach, FL."
2024-10,Received the Lenfant Fellowship from NHLBI for postdoctoral training (intramural equivalent to the F32).
2024-07,"Collaborative paper with Dragana Protic's group is out! <a href=""https://www.mdpi.com/1422-0067/25/14/7949"">Check it here</a>."
2024-07,"Our book chapter is published. <a href=""https://link.springer.com/chapter/10.1007/978-3-031-62723-1_2"">Check it out</a>!"
2024-06,"Attended SRBR 2024 at San Juan, PR. Received a merit award at the conference."
